Designator,Mid X,Mid Y,Rotation,Layer
R60,139.3,-79.0,0.0,top
R61,147.3,-68.0,90.0,top
R62,111.475,-101.59,180.0,top
R63,115.875,-103.89,0.0,top
R64,101.4,-104.1,90.0,top
R65,117.9,-117.9,270.0,top
R66,143.5,-75.6,180.0,top
R7,161.0,-135.0,270.0,top
R8,164.0,-135.0,90.0,top
R9,176.5,-143.4,180.0,top
S1,212.0,-65.0,0.0,bottom
S2,212.0,-77.0,0.0,bottom
S3,212.0,-89.0,0.0,bottom
S4,212.0,-101.0,0.0,bottom
SW1,72.0,-101.25,0.0,bottom
SW2,72.0,-68.25,0.0,bottom
U1,188.1,-104.2,270.0,top
U10,98.0,-97.0,270.0,top
U11,114.1,-75.5,270.0,top
U12,139.26,-95.605,270.0,top
U13,137.4,-66.5,270.0,top
U14,117.025,-98.265,270.0,top
U15,175.3625,-96.75,180.0,top
U2,167.9,-96.8,180.0,top
U3,193.725,-126.71,270.0,top
U4,100.939956,-135.060044,0.0,top
U5,162.2,-141.3,270.0,top
U6,57.6,-116.5,90.0,top
U7,69.4,-116.5,90.0,top
U8,111.95,-140.9,90.0,top
U9,146.5,-83.0,180.0,bottom
